Unnamed: 0,cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,contributions,percentage_votes,in_db,campaign_site,campaign_facebook,campaign_x,campaign_instagram,personal_website,personal_facebook,personal_linkedin
504,JEFFERSON VAN DREW,2024,federal:house,NJ,2,REPUBLICAN,unknown,Won,unknown,0.58109359,False,https://vandrewforcongress.com,https://www.facebook.com/VanDrewForCongress/,,,,,https://www.linkedin.com/in/jeffvandrew/
505,JOSEPH F. SALERNO,2024,federal:house,NJ,2,DEMOCRAT,unknown,Lost,unknown,0.412025725,False,https://www.joesalernoforcongress.com,https://www.facebook.com/JoeSalernoforCongress,https://x.com/JoeSalernoNJ,https://www.instagram.com/joesalernoforcongress/,,https://www.facebook.com/joe.salerno.10,https://www.linkedin.com/company/joesalernoforcongress/
506,HERB CONAWAY,2024,federal:house,NJ,3,DEMOCRAT,unknown,Won,unknown,0.532391352,True,http://herbforcongress.com,,,,,,
507,RAJESH MOHAN,2024,federal:house,NJ,3,REPUBLICAN,unknown,Lost,unknown,0.44653793,True,https://mohanforuscongress.com/mohan-for-us-congress-news/,,,,,,
508,CHRISTOPHER H. SMITH,2024,federal:house,NJ,4,REPUBLICAN,unknown,Won,unknown,0.673853709,False,,,,,,,
509,MATTHEW JENKINS,2024,federal:house,NJ,4,DEMOCRAT,unknown,Lost,unknown,0.316575687,True,https://ivoterguide.com/candidate/71363/race/6823/election/1218,,,,,,
510,JOSH GOTTHEIMER,2024,federal:house,NJ,5,DEMOCRAT,unknown,Won,unknown,0.545600947,True,http://josh4jersey.com,,,,,,
511,MARY JO GUINCHARD,2024,federal:house,NJ,5,REPUBLICAN,unknown,Lost,unknown,0.432814247,False,https://maryjoforcongress.com,https://www.facebook.com/MaryJoforNJ5/,https://x.com/MaryJoforNJ,https://www.instagram.com/maryjofornj,,https://www.facebook.com/maryjo.guinchard,
512,"FRANK PALLONE, JR.",2024,federal:house,NJ,6,DEMOCRAT,unknown,Won,unknown,0.560703501,False,https://www.pallonefornewjersey.com/,,,,,,
513,SCOTT FEGLER,2024,federal:house,NJ,6,REPUBLICAN,unknown,Lost,unknown,0.40344638,True,https://www.fegler2024.com,https://www.facebook.com/Fegler2024,https://x.com/fegler2024,https://www.instagram.com/fegler2024/,,https://www.facebook.com/profile.php?id=61556031898454,https://www.linkedin.com/in/scott-fegler-2a1a2a160/
514,"THOMAS H. KEAN, JR.",2024,federal:house,NJ,7,REPUBLICAN,unknown,Won,unknown,0.51769132,False,https://tomkean.com,https://www.facebook.com/KeanForCongress/,https://x.com/KeanForCongress,https://www.instagram.com/tomkean/,,https://www.facebook.com/tomkean,
515,SUE ALTMAN,2024,federal:house,NJ,7,DEMOCRAT,unknown,Lost,unknown,0.463666962,True,https://suealtman.com/,,,,,https://www.facebook.com/sue.altman,https://www.linkedin.com/in/sue-altman-4783818b/
516,ROBERT MENENDEZ,2024,federal:house,NJ,8,DEMOCRAT,unknown,Won,unknown,0.591741417,False,https://www.robmenendez.com/,https://www.facebook.com/RobMenendez4NJ,https://x.com/RobMenendez4NJ,https://www.instagram.com/robmenendez4nj/,,,https://www.linkedin.com/in/rob-menendez-89630345/
517,ANTHONY VALDES,2024,federal:house,NJ,8,REPUBLICAN,unknown,Lost,unknown,0.346362412,True,https://anthonyvaldes.com,,https://x.com/valdes_ant97437,,,https://www.facebook.com/anthony.valdes.10,
518,NELLIE POU,2024,federal:house,NJ,9,DEMOCRAT,unknown,Won,unknown,0.507810889,True,http://nelliepoufornewjersey.com,,,,,,
519,BILLY PREMPEH,2024,federal:house,NJ,9,REPUBLICAN,unknown,Lost,unknown,0.458883403,True,https://www.billyprempeh.com,https://www.facebook.com/billyprempeh,https://x.com/Billyprempeh,https://www.instagram.com/someguynamedbill,,https://www.facebook.com/sumguynamedbill,https://www.linkedin.com/in/williamprempeh/
520,LAMONICA MCIVER,2024,federal:house,NJ,10,DEMOCRAT,unknown,Won,unknown,0.744223701,True,http://lamonicaforcongress.com,,,,,,
521,CARMEN BUCCO,2024,federal:house,NJ,10,REPUBLICAN,unknown,Lost,unknown,0.222445283,True,https://carmenbucco.com/,https://www.facebook.com/lathamtiver/,,,,https://www.facebook.com/latham.tiver.1,
522,MIKIE SHERRILL,2024,federal:house,NJ,11,DEMOCRAT,unknown,Won,unknown,0.565288723,True,http://mikiesherrill.com,,,,,,
523,JOSEPH BELNOME,2024,federal:house,NJ,11,REPUBLICAN,unknown,Lost,unknown,0.417918939,True,https://www.joebelnome.com,https://www.facebook.com/votejerseyjoe,https://x.com/VoteJerseyJoe,https://www.instagram.com/votejerseyjoe/,,https://www.facebook.com/profile.php?id=100092695346066,https://www.linkedin.com/in/joseph-belnome-032404305/
524,BONNIE WATSON COLEMAN,2024,federal:house,NJ,12,DEMOCRAT,unknown,Won,unknown,0.612046882,True,http://bonnieforcongress.com,,,,,,
525,DARIUS MAYFIELD,2024,federal:house,NJ,12,REPUBLICAN,unknown,Lost,unknown,0.364428278,True,https://dariusmayfield.com/,https://www.facebook.com/dariusmayfieldforamerica/,https://x.com/MrMayfieldUSA,https://www.instagram.com/mayfield4congress,,https://www.facebook.com/darius.mayfield.9,https://www.linkedin.com/in/darius-mayfield-90101296/
526,MELANIE A. STANSBURY,2024,federal:house,NM,1,DEMOCRAT,unknown,Won,unknown,0.563686546,False,https://melaniefornm.com,https://www.facebook.com/Melanie4NM,https://x.com/MelanieforNM,https://www.instagram.com/melanieinthe505/,,https://www.facebook.com/melanie.nm.944,https://www.linkedin.com/in/melaniestansbury/
527,STEVE JONES,2024,federal:house,NM,1,REPUBLICAN,unknown,Lost,unknown,0.436313454,True,https://stevejones4nm.com/,,,,,,
528,GABE VASQUEZ,2024,federal:house,NM,2,DEMOCRAT,unknown,Won,unknown,0.520789833,True,http://gabeforcongress.com,,,,,,
529,YVETTE HERRELL,2024,federal:house,NM,2,REPUBLICAN,unknown,Lost,unknown,0.479210167,True,https://www.yvetteherrell.com,https://www.facebook.com/HerrellforCongress,https://x.com/Yvette4congress,https://www.instagram.com/yvetteherrellnm/,,https://www.facebook.com/yvette.herrell,
530,TERESA LEGER FERNANDEZ,2024,federal:house,NM,3,DEMOCRAT,unknown,Won,unknown,0.562852992,True,http://teresaforall.com,,,,,,
531,SHARON E. CLAHCHISCHILLIAGE,2024,federal:house,NM,3,REPUBLICAN,unknown,Lost,unknown,0.437147008,False,https://www.sharonfornm.com,https://www.facebook.com/SharonforNM,https://x.com/SharonforNM,https://www.instagram.com/sharonfornm,,https://www.facebook.com/sharon.clahchischilliage/,https://www.linkedin.com/in/sharon-clahchischilliage-11932b66/
532,DINA TITUS,2024,federal:house,NV,1,DEMOCRAT,unknown,Won,unknown,0.519930381,True,http://dinatitus.com,,,,,,
533,MARK ROBERTSON,2024,federal:house,NV,1,REPUBLICAN,unknown,Lost,unknown,0.444875952,True,https://robertsonforcongress.com,https://www.facebook.com/RobertsonforNV,https://x.com/RobertsonforNV,https://www.instagram.com/robertsonfornv/,,https://www.facebook.com/mark.robertson.9809,https://www.linkedin.com/in/mark-robertson-36616b62/
534,MARK E. AMODEI,2024,federal:house,NV,2,REPUBLICAN,unknown,Won,unknown,0.550369885,False,,,,,,,
535,GREG KIDD,2024,federal:house,NV,2,NO POLITICAL PARTY,unknown,Lost,unknown,0.360534956,False,https://www.kiddfornevada.com/kidd2,,,,,,
536,SUSIE LEE,2024,federal:house,NV,3,DEMOCRAT,unknown,Won,unknown,0.513722247,True,http://susieleeforcongress.com,,,,,,
537,DREW JOHNSON,2024,federal:house,NV,3,REPUBLICAN,unknown,Lost,unknown,0.486277753,True,https://drewfornevada.com/,,,,,,
538,STEVEN HORSFORD,2024,federal:house,NV,4,DEMOCRAT,unknown,Won,unknown,0.526558822,True,http://stevenhorsford.com,,,,,,
539,JOHN LEE,2024,federal:house,NV,4,REPUBLICAN,unknown,Lost,unknown,0.445690325,True,http://www.followthemoney.org/database/StateGlance/candidate.phtml?si=200633&c=419187,,,,,,
540,NICK LALOTA,2024,federal:house,NY,1,REPUBLICAN,unknown,Won,unknown,0.489641551,True,https://www.nicklalota.com/,,,,,,
541,JOHN P. AVLON,2024,federal:house,NY,1,DEMOCRAT,unknown,Lost,unknown,0.442933431,False,https://www.johnavlon.com/,https://www.facebook.com/TeamAvlonNY,https://x.com/TeamAvlonNY,https://www.instagram.com/teamavlonny/,,https://www.facebook.com/john.avlon.3,https://www.linkedin.com/in/john-avlon/
542,ANDREW R. GARBARINO,2024,federal:house,NY,2,REPUBLICAN,unknown,Won,unknown,0.531830391,False,https://garbarinoforny.com,https://www.facebook.com/GarbarinoforNY,https://x.com/GarbarinoforNY,https://www.instagram.com/garbarinoforcongress,,,
543,ROB LUBIN,2024,federal:house,NY,2,DEMOCRAT,unknown,Lost,unknown,0.383117553,True,https://roblubinforcongress.com/,https://www.facebook.com/RobLubinforNY,https://x.com/RobLubinforNY,https://www.instagram.com/roblubinforny,,https://www.facebook.com/robert.d.lubin,https://www.linkedin.com/in/roblubin/
544,THOMAS R. SUOZZI,2024,federal:house,NY,3,DEMOCRAT,unknown,Won,unknown,0.510819995,False,https://suozziforcongress.com/,,,,,,
545,"MICHAEL J. LIPETRI, JR.",2024,federal:house,NY,3,REPUBLICAN,unknown,Lost,unknown,0.443914475,False,https://www.mikelipetriforcongress.com/,,,,https://www.mikelipetri.com,https://www.facebook.com/mike.lipetri.7,https://www.linkedin.com/in/mike-lipetri-524052105/
546,LAURA A. GILLEN,2024,federal:house,NY,4,DEMOCRAT,unknown,Won,unknown,0.507482997,False,https://lauragillen.com/,,,,,,
547,ANTHONY D’ESPOSITO,2024,federal:house,NY,4,REPUBLICAN,unknown,Lost,unknown,0.45175198,False,https://despositoforcongress.com/2024/,,,,,,
548,GREGORY W. MEEKS,2024,federal:house,NY,5,DEMOCRAT,unknown,Won,unknown,0.726796872,False,https://www.congressmangregorymeeks.com/,,,,,,
549,PAUL KING,2024,federal:house,NY,5,REPUBLICAN,unknown,Lost,unknown,0.244627507,True,,,,,,,
550,GRACE MENG,2024,federal:house,NY,6,DEMOCRAT,unknown,Won,unknown,0.604987669,True,http://gracefornewyork.com,,,,,,
551,THOMAS J. ZMICH,2024,federal:house,NY,6,REPUBLICAN,unknown,Lost,unknown,0.350566209,False,,,,,,https://www.facebook.com/tom.zmich.7,
552,NYDIA M. VELáZQUEZ,2024,federal:house,NY,7,DEMOCRAT,unknown,Won,unknown,0.65443978,False,https://www.reelectnydiavelazquez.com,https://www.facebook.com/ReElectNydiaVelazquezToCongress,https://x.com/ReElectNydia,,,,
553,BILL KREGLER,2024,federal:house,NY,7,REPUBLICAN,unknown,Lost,unknown,0.194121175,False,https://kreglerforcongress.com,,,,,,
554,HAKEEM S. JEFFRIES,2024,federal:house,NY,8,DEMOCRAT,unknown,Won,unknown,0.75081768,False,https://hakeemjeffries.com/,,,,,,
555,JOHN J. DELANEY,2024,federal:house,NY,8,REPUBLICAN,unknown,Lost,unknown,0.216122143,False,https://lykelect.com/post/john-delaney/aede1c96-3081-4cf7-a8ea-da31d045b3c4/,,,,,,
556,YVETTE D. CLARKE,2024,federal:house,NY,9,DEMOCRAT,unknown,Won,unknown,0.734637701,False,https://voteyvette.com/,https://www.facebook.com/VoteYvette/,https://x.com/VoteYvette,https://www.instagram.com/voteyvette/,,https://www.facebook.com/profile.php?id=100010999729356,https://www.linkedin.com/in/yvette-clarke-9b3aa810/
557,MENACHEM M. RAITPORT,2024,federal:house,NY,9,REPUBLICAN,unknown,Lost,unknown,0.218253228,False,,,,,,,
558,DANIEL S. GOLDMAN,2024,federal:house,NY,10,DEMOCRAT,unknown,Won,unknown,0.81006144,False,https://www.dangoldmanforny.com,https://www.facebook.com/dangoldmanfornewyork,https://x.com/danielsgoldman,https://www.instagram.com/dangoldmanforny/,,,https://www.linkedin.com/in/daniel-goldman-55619415b/
559,ALEXANDER DODENHOFF,2024,federal:house,NY,10,REPUBLICAN,unknown,Lost,unknown,0.147531388,False,https://www.alexdodenhoff.com/,https://www.facebook.com/profile.php?id=61563845159589,https://x.com/alexdodenhoff,,,https://www.facebook.com/alexbdode,https://www.linkedin.com/in/alex-dodenhoff/
560,NICOLE MALLIOTAKIS,2024,federal:house,NY,11,REPUBLICAN,unknown,Won,unknown,0.584977534,True,https://nicolemalliotakis.com/,https://www.facebook.com/NMalliotakis,https://x.com/NMalliotakis,https://www.instagram.com/nmalliotakis,,,
561,ANDREA S. MORSE,2024,federal:house,NY,11,DEMOCRAT,unknown,Lost,unknown,0.357569691,False,https://www.andreamorseforcongress.com/,,,,,,
562,JERROLD NADLER,2024,federal:house,NY,12,DEMOCRAT,unknown,Won,unknown,0.750296278,False,https://www.jerrynadler.com,,https://x.com/jerrynadler,,,,https://www.linkedin.com/in/jerry-nadler-943a7014/
563,MICHAEL K. ZUMBLUSKAS,2024,federal:house,NY,12,REPUBLICAN,unknown,Lost,unknown,0.194398494,False,https://www.electmikez.us/,https://www.facebook.com/profile.php?id=100057733552390,https://x.com/MikeZumbluskas,,,https://www.facebook.com/michael.zumbluskas,https://www.linkedin.com/in/michael-zumbluskas-4159a98
564,ADRIANO ESPAILLAT,2024,federal:house,NY,13,DEMOCRAT,unknown,Won,unknown,0.830239345,True,http://adrianoespaillat.com,,,,,,
565,RUBEN D. VARGAS,2024,federal:house,NY,13,REPUBLICAN,unknown,Lost,unknown,0.146460979,False,https://lykelect.com/post/ruben-vargas/d630403c-e352-47ad-b56f-3d58e2c60398/,,https://x.com/RDV4Congress,,,https://www.facebook.com/rubendvargasNY,
566,ALEXANDRIA OCASIO-CORTEZ,2024,federal:house,NY,14,DEMOCRAT,unknown,Won,unknown,0.61530192,True,https://www.josevelazquez2020.com/,https://www.facebook.com/JVelazquezNYC/,https://x.com/JVelazquezNYC,https://www.instagram.com/jvelazqueznyc/,,,https://www.linkedin.com/in/jose-velazquez-0610a074/
567,TINA FORTE,2024,federal:house,NY,14,REPUBLICAN,unknown,Lost,unknown,0.281260549,True,https://tinaforteforcongress.com,https://www.facebook.com/TinaForteUSA,https://x.com/TinaForteUSA,https://www.instagram.com/TinaForteUSA,,https://www.facebook.com/Tina4o,
568,RITCHIE TORRES,2024,federal:house,NY,15,DEMOCRAT,unknown,Won,unknown,0.762102925,True,http://torres.nyc,,,,,,
569,GONZALO DURAN,2024,federal:house,NY,15,REPUBLICAN,unknown,Lost,unknown,0.189917882,True,https://www.gonzaloduran.nyc/,,,,,,
570,GEORGE S. LATIMER,2024,federal:house,NY,16,DEMOCRAT,unknown,Won,unknown,0.713480771,False,https://latimerforny.com,https://www.facebook.com/LatimerforNY,https://x.com/LatimerforNY,https://www.instagram.com/latimerforny/,,https://www.facebook.com/GeorgelatimerNY,https://www.linkedin.com/in/george-latimer-20105387/
571,MIRIAM LEVITT FLISSER,2024,federal:house,NY,16,REPUBLICAN,unknown,Lost,unknown,0.283231556,False,https://miriam4congress.com,https://www.facebook.com/profile.php?id=100085471750536,https://x.com/LevittFlisser,https://www.instagram.com/levittflisser4congress/,,https://www.facebook.com/miriamlevitt.flisser,
572,MICHAEL LAWLER,2024,federal:house,NY,17,REPUBLICAN,unknown,Won,unknown,0.476733033,False,https://www.lawlerforcongress.com,https://www.facebook.com/lawler4ny,https://x.com/lawler4ny,https://www.instagram.com/lawler4ny/,,https://www.facebook.com/michaelvlawler,https://www.linkedin.com/in/mike-lawler-735903103/
573,MONDAIRE L. JONES,2024,federal:house,NY,17,DEMOCRAT,unknown,Lost,unknown,0.458222225,False,https://www.mondaireforcongress.com/,https://www.facebook.com/MondaireJonesNY17,https://x.com/MondaireJones,https://www.instagram.com/mondairejones/,,,https://www.linkedin.com/in/mondairejones/
574,PATRICK RYAN,2024,federal:house,NY,18,DEMOCRAT,unknown,Won,unknown,0.522318067,False,https://www.patryanforcongress.com,https://www.facebook.com/PatRyanUC,https://x.com/PatRyanUC,https://www.instagram.com/patryanforcongress/,,https://www.facebook.com/pkryan,https://www.linkedin.com/in/pkryan04
575,ALISON ESPOSITO,2024,federal:house,NY,18,REPUBLICAN,unknown,Lost,unknown,0.381808452,True,https://alisonesposito.com,https://www.facebook.com/EspositoforNY,https://x.com/EspositoforNY,https://www.instagram.com/EspositoforNY/,,https://www.facebook.com/alison.esposito.58,https://www.linkedin.com/in/alison-esposito-b409598b/
576,JOSH RILEY,2024,federal:house,NY,19,DEMOCRAT,unknown,Won,unknown,0.450648349,True,https://joshrileyforcongress.com,https://www.facebook.com/JoshRileyNY,https://x.com/JoshRileyUE,https://www.instagram.com/joshrileyue/,,,https://www.linkedin.com/in/joshua-riley-601bb387/
577,MARCUS J. MOLINARO,2024,federal:house,NY,19,REPUBLICAN,unknown,Lost,unknown,0.434620491,False,,,,,,,https://www.linkedin.com/in/marcus-molinaro-6790974/
578,PAUL TONKO,2024,federal:house,NY,20,DEMOCRAT,unknown,Won,unknown,0.551263602,True,https://paultonko.com,https://www.facebook.com/paul.tonko,https://x.com/PaulTonko,https://www.instagram.com/paultonko,,,
579,KEVIN M. WALTZ,2024,federal:house,NY,20,REPUBLICAN,unknown,Lost,unknown,0.334600834,False,https://vote-usa.org/Intro.aspx?State=NY&Id=NYWaltzKevinM,,,,,,
580,ELISE M. STEFANIK,2024,federal:house,NY,21,REPUBLICAN,unknown,Won,unknown,0.560647086,False,https://eliseforcongress.com/,,,,,,
581,PAULA COLLINS,2024,federal:house,NY,21,DEMOCRAT,unknown,Lost,unknown,0.347891808,True,https://paulacollinsforcongress.com,https://www.facebook.com/profile.php?id=61556502652722,https://x.com/collinsforNY21,https://www.instagram.com/collinsforcongress,,https://www.facebook.com/paula.collins.7568,https://www.linkedin.com/in/paulacollinsnyc/
582,JOHN W. MANNION,2024,federal:house,NY,22,DEMOCRAT,unknown,Won,unknown,0.499994394,False,https://www.mannionforny.com,https://www.facebook.com/JohnMannionforNY,https://x.com/MannionforNY,https://www.instagram.com/mannionforNY/,,https://www.facebook.com/profile.php?id=100008916731213,https://www.linkedin.com/in/john-mannion-04750294/
583,BRANDON WILLIAMS,2024,federal:house,NY,22,REPUBLICAN,unknown,Lost,unknown,0.398220812,True,https://letsvotebrandon.com/,https://www.facebook.com/brandonforcongressny22/,https://x.com/Brandon4ny22,https://www.instagram.com/brandon4congressny22/,,,https://www.linkedin.com/in/brandonmwilliams
584,NICHOLAS A. LANGWORTHY,2024,federal:house,NY,23,REPUBLICAN,unknown,Won,unknown,0.569572464,False,https://nicklangworthy.com/,https://www.facebook.com/ChairmanNickLangworthy,https://x.com/NickLangworthy,https://www.instagram.com/nicklangworthy/,,https://www.facebook.com/nicholaslangworthy,https://www.linkedin.com/in/nicklangworthy/
585,THOMAS A. CARLE,2024,federal:house,NY,23,DEMOCRAT,unknown,Lost,unknown,0.341850509,False,http://www.carle4congress.com/,,,,,,
586,CLAUDIA TENNEY,2024,federal:house,NY,24,REPUBLICAN,unknown,Won,unknown,0.57616574,True,https://claudiaforcongress.com,https://www.facebook.com/ClaudiaForCongress,https://x.com/claudiatenney,https://www.instagram.com/claudiatenney/,,,https://www.linkedin.com/in/claudia-t-793899160/
587,DAVID WAGENHAUSER,2024,federal:house,NY,24,DEMOCRAT,unknown,Lost,unknown,0.343112405,True,https://www.daveforupstate.com/,https://www.facebook.com/daveforupstate,https://x.com/daveforupstate,https://www.instagram.com/daveforupstate,,https://www.facebook.com/profile.php?id=61552296687996,
588,JOSEPH D. MORELLE,2024,federal:house,NY,25,DEMOCRAT,unknown,Won,unknown,0.55598628,False,https://www.votemorelle.com/,,,,,,
589,GREGG A. SADWICK,2024,federal:house,NY,25,REPUBLICAN,unknown,Lost,unknown,0.391519911,False,https://sadwickforcongress.com/,https://www.facebook.com/SadwickforCongress/,https://x.com/GreggSadwick,https://www.instagram.com/sadwickforcongress/,,https://www.facebook.com/gregg.sadwick,https://www.linkedin.com/in/gregg-sadwick-9554557/
590,TIMOTHY M. KENNEDY,2024,federal:house,NY,26,DEMOCRAT,unknown,Won,unknown,0.593419316,False,https://kennedyforuscongress.com/,,,,,,
591,ANTHONY G. MARECKI,2024,federal:house,NY,26,REPUBLICAN,unknown,Lost,unknown,0.295779075,False,https://lykelect.com/post/anthony-marecki/03a22b48-43e4-4873-8447-55485b3e54d5/,,,,,,https://www.linkedin.com/in/anthony-marecki-204384149/
592,GREG LANDSMAN,2024,federal:house,OH,1,DEMOCRAT,unknown,Won,unknown,0.545830792,True,http://landsmanforcongress.com,,,,,,
593,ORLANDO SONZA,2024,federal:house,OH,1,REPUBLICAN,unknown,Lost,unknown,0.454169208,True,,,,,,,
594,DAVID J. TAYLOR,2024,federal:house,OH,2,REPUBLICAN,unknown,Won,unknown,0.735598548,False,https://davetaylorforcongress.com/meet-dave/,,,,,,
595,SAMANTHA MEADOWS,2024,federal:house,OH,2,DEMOCRAT,unknown,Lost,unknown,0.264390482,True,https://www.votemeadows.com/,https://www.facebook.com/SMeadowsForOH2,https://x.com/SMeadows4OH2,https://www.instagram.com/smeadowsforoh2/,,,
596,JOYCE BEATTY,2024,federal:house,OH,3,DEMOCRAT,unknown,Won,unknown,0.707408736,True,http://beattyforcongress.com,,,,,,
597,MICHAEL YOUNG,2024,federal:house,OH,3,REPUBLICAN,unknown,Lost,unknown,0.292591264,True,https://lykelect.com/post/michael-young/16dcee23-d5d7-4379-aebc-68bf443499eb/,,,,,,
598,JIM JORDAN,2024,federal:house,OH,4,REPUBLICAN,unknown,Won,unknown,0.684608294,True,http://jimjordanforcongress.com,,,,,,
599,TAMIE WILSON,2024,federal:house,OH,4,DEMOCRAT,unknown,Lost,unknown,0.315391706,True,https://www.tamiewilson.com/about/,,,,,https://www.facebook.com/TamieWilsonForUSCongressOH4,https://www.linkedin.com/in/tamie-wilson-4852b3119/
600,ROBERT E. LATTA,2024,federal:house,OH,5,REPUBLICAN,unknown,Won,unknown,0.675104382,False,,,,,,,
601,KEITH MUNDY,2024,federal:house,OH,5,DEMOCRAT,unknown,Lost,unknown,0.324895618,True,https://www.keithmundyforcongress.com/,,,,,,
602,MICHAEL A. RULLI,2024,federal:house,OH,6,REPUBLICAN,unknown,Won,unknown,0.667417713,False,https://www.michaelrulli.com,https://www.facebook.com/rulliforohio,https://x.com/michaelrulli,https://www.instagram.com/michaelarulli,,,
603,MICHAEL L. KRIPCHAK,2024,federal:house,OH,6,DEMOCRAT,unknown,Lost,unknown,0.332582287,False,https://www.kripchak.com/,,,,,https://www.facebook.com/michael.kripchak,https://www.linkedin.com/in/michael-kripchak/
604,MAX L. MILLER,2024,federal:house,OH,7,REPUBLICAN,unknown,Won,unknown,0.510761269,False,https://www.votemaxmiller.com/,,,,,,
605,MATT DIEMER,2024,federal:house,OH,7,DEMOCRAT,unknown,Lost,unknown,0.361197489,False,https://diemerforcongress.com/home-x/,,,,,,
606,WARREN DAVIDSON,2024,federal:house,OH,8,REPUBLICAN,unknown,Won,unknown,0.628102124,True,http://davidsonforcongress.com,,,,,,
607,VANESSA ENOCH,2024,federal:house,OH,8,DEMOCRAT,unknown,Lost,unknown,0.371897876,True,https://enochforcongress.com/,,,,,https://www.facebook.com/vanessa.enoch,https://www.linkedin.com/in/dr-vanessa-enoch/
608,MARCY KAPTUR,2024,federal:house,OH,9,DEMOCRAT,unknown,Won,unknown,0.482677008,True,http://marcykaptur.com,,,,,,
609,DEREK MERRIN,2024,federal:house,OH,9,REPUBLICAN,unknown,Lost,unknown,0.476328309,True,https://www.derekmerrin.com/,,,,,,
610,MICHAEL R. TURNER,2024,federal:house,OH,10,REPUBLICAN,unknown,Won,unknown,0.576391923,False,https://www.miketurner.com,https://www.facebook.com/MikeTurnerforCongress,https://x.com/MikeTurnerOH,,,,
611,AMY COX,2024,federal:house,OH,10,DEMOCRAT,unknown,Lost,unknown,0.392236194,True,https://voteamycox.com/,https://www.facebook.com/voteamycox/,https://x.com/VoteAmyCox,,,,
612,SHONTEL M. BROWN,2024,federal:house,OH,11,DEMOCRAT,unknown,Won,unknown,0.78330958,False,https://shontelbrown.com,https://www.facebook.com/shontelbrownvote,https://x.com/ShontelMBrown,https://www.instagram.com/shontelbrown/,,https://www.facebook.com/shontel.m.brown,https://www.linkedin.com/in/shontelmbrown/
613,ALAN RAPOPORT,2024,federal:house,OH,11,REPUBLICAN,unknown,Lost,unknown,0.196400287,True,https://Rapoport4Congress.com,https://www.facebook.com/alan0600,https://x.com/rapoport_a46366,,,https://www.facebook.com/alan.rapoport.7,https://www.linkedin.com/in/alanrapoport/
614,TROY BALDERSON,2024,federal:house,OH,12,REPUBLICAN,unknown,Won,unknown,0.685055814,True,http://baldersonforcongress.com,,,,,,
615,JERRAD CHRISTIAN,2024,federal:house,OH,12,DEMOCRAT,unknown,Lost,unknown,0.314944186,True,https://www.christianforohio.com,,https://x.com/JerradChristian,https://www.instagram.com/jerrad.christian,,,https://www.linkedin.com/in/jerrad-christian/
616,EMILIA STRONG SYKES,2024,federal:house,OH,13,DEMOCRAT,unknown,Won,unknown,0.511053599,False,https://www.emiliasykesforcongress.com/,,,,,,
617,KEVIN COUGHLIN,2024,federal:house,OH,13,REPUBLICAN,unknown,Lost,unknown,0.488946401,True,https://kevincoughlin.com/,,,,,,
618,DAVID P. JOYCE,2024,federal:house,OH,14,REPUBLICAN,unknown,Won,unknown,0.634158986,False,,,,,,,
619,BRIAN BOB KENDERES,2024,federal:house,OH,14,DEMOCRAT,unknown,Lost,unknown,0.365841014,False,,,,,,https://www.facebook.com/monkey1,https://www.linkedin.com/in/brian-kenderes-54653832/
620,MIKE CAREY,2024,federal:house,OH,15,REPUBLICAN,unknown,Won,unknown,0.564596879,True,http://careyforcongress.com,,,,,,
621,ADAM MILLER,2024,federal:house,OH,15,DEMOCRAT,unknown,Lost,unknown,0.435403121,True,https://adammillerforcongress.org/,https://www.facebook.com/profile.php?id=61555363874447,https://x.com/AdamForOH15,https://www.instagram.com/adammillerforcongress/,,https://www.facebook.com/adam.miller.707942/,https://www.linkedin.com/in/adamclaymiller/
622,KEVIN HERN,2024,federal:house,OK,1,REPUBLICAN,unknown,Won,unknown,0.604260466,True,http://hernforcongress.com,,,,,,
623,DENNIS BAKER,2024,federal:house,OK,1,DEMOCRAT,unknown,Lost,unknown,0.345288495,True,https://dennislbaker.com/,,,,,https://www.facebook.com/DennisLanceBaker,
624,JOSH BRECHEEN,2024,federal:house,OK,2,REPUBLICAN,unknown,Won,unknown,0.74175843,True,http://joshbrecheen.com,,,,,,
625,BRANDON WADE,2024,federal:house,OK,2,DEMOCRAT,unknown,Lost,unknown,0.214441243,True,https://brandon4congress.com/,,,,,,
626,FRANK D. LUCAS,2024,federal:house,OK,3,REPUBLICAN,unknown,Won,unknown,-1,False,https://frankdlucas.com/,,,,,,
627,TOM COLE,2024,federal:house,OK,4,REPUBLICAN,unknown,Won,unknown,0.652462044,True,http://tomcoleforcongress.com,,,,,,
628,MARY BRANNON,2024,federal:house,OK,4,DEMOCRAT,unknown,Lost,unknown,0.282703533,True,https://electbrannon.com,https://www.facebook.com/Brannon4Congress,https://x.com/electbrannon,https://www.instagram.com/marymbrannon,,https://www.facebook.com/mary.brannon.10,
629,STEPHANIE I. BICE,2024,federal:house,OK,5,REPUBLICAN,unknown,Won,unknown,0.606932919,False,https://biceforcongress.com,https://www.facebook.com/BiceForCongress/,https://x.com/stephaniebice,,,,https://www.linkedin.com/in/sibice
630,MADISON HORN,2024,federal:house,OK,5,DEMOCRAT,unknown,Lost,unknown,0.393067081,True,,,,,https://www.goddardlawplc.com/our-attorneys,https://www.facebook.com/terrygoddard,https://www.linkedin.com/in/terry-goddard-98499032/
631,SUZANNE BONAMICI,2024,federal:house,OR,1,DEMOCRAT,unknown,Won,unknown,0.686256183,True,http://bonamiciforcongress.com,,,,,,
