Unnamed: 0,cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,contributions,percentage_votes,in_db,campaign_site,campaign_facebook,campaign_x,campaign_instagram,personal_website,personal_facebook,personal_linkedin
42,CHRIS COULOMBE,2024,federal:house,CA,2,REPUBLICAN,unknown,Lost,unknown,0.281162329,True,https://www.christocongress.com/,https://www.facebook.com/christocongress,https://x.com/christocongress,https://www.instagram.com/christocongress/,,https://www.facebook.com/chris.coulombe.79,https://www.linkedin.com/in/chris-coulombe-3a1457aa/
43,KEVIN KILEY,2024,federal:house,CA,3,REPUBLICAN,unknown,Won,unknown,0.554673903,True,http://electkevinkiley.com,,,,,,
44,JESSICA MORSE,2024,federal:house,CA,3,DEMOCRAT,unknown,Lost,unknown,0.445326097,True,https://www.morseforcongress.com/,,,,,,
45,MIKE THOMPSON,2024,federal:house,CA,4,DEMOCRAT,unknown,Won,unknown,0.664555854,True,http://mikethompsonforcongress.com,,,,,,
46,JOHN MUNN,2024,federal:house,CA,4,REPUBLICAN,unknown,Lost,unknown,0.335444146,True,https://munn4congress.com,https://www.facebook.com/Munn4Congress,,,,,
47,TOM MCCLINTOCK,2024,federal:house,CA,5,REPUBLICAN,unknown,Won,unknown,0.617651847,True,http://tommcclintock.com,,,,,,
48,"MICHAEL J. \""MIKE\"" BARKLEY",2024,federal:house,CA,5,DEMOCRAT,unknown,Lost,unknown,0.382348153,False,https://mikebarkley4congress.com/,,,,,,
49,AMI BERA,2024,federal:house,CA,6,DEMOCRAT,unknown,Won,unknown,0.576189945,True,http://beraforcongress.com,,,,,,
50,CHRISTINE BISH,2024,federal:house,CA,6,REPUBLICAN,unknown,Lost,unknown,0.423810055,True,https://bishforcongress.com/,https://www.facebook.com/BishForCongress/,https://x.com/BishForCongres,https://www.instagram.com/BishforCongress,,https://www.facebook.com/chrisbishDRE,https://www.linkedin.com/in/christine-bish-1783291a7/
51,DORIS O. MATSUI,2024,federal:house,CA,7,DEMOCRAT,unknown,Won,unknown,0.667508537,False,https://www.matsuiforcongress.com,https://www.facebook.com/Matsui4Congress/,https://x.com/Matsui4Congress,,,,https://www.linkedin.com/in/dorismatsui/
52,TOM SILVA,2024,federal:house,CA,7,REPUBLICAN,unknown,Lost,unknown,0.332491463,True,https://www.silvaforcongress.com/news,,,,https://web.archive.org/web/2/http://manataforassembly.org/,,
53,JOHN GARAMENDI,2024,federal:house,CA,8,DEMOCRAT,unknown,Won,unknown,0.739706259,True,http://garamendi.org,,,,,,
54,RUDY RECILE,2024,federal:house,CA,8,REPUBLICAN,unknown,Lost,unknown,0.260293741,True,https://rudyforuscongress.com,https://www.facebook.com/rudyforuscongress,https://x.com/Rudy4USCongress,,,https://www.facebook.com/RecileRudy,https://www.linkedin.com/in/rudy-recile-b9a7b86/
55,JOSH HARDER,2024,federal:house,CA,9,DEMOCRAT,unknown,Won,unknown,0.517920726,True,http://harderforcongress.com,,,,,,
