cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,percentage_votes
Lisa Borowsky,2024,Mayor,Arizona,Scottsdale,REPUBLICAN,FALSE,Won,54.1
David Ortega,2024,Mayor,Arizona,Scottsdale,NONPARTISAN,TRUE,Lost,45.6
Karen Goh,2024,Mayor,California,Bakersfield,REPUBLICAN,TRUE,Won,83.2
Gregory Tatum,2024,Mayor,California,Bakersfield,REPUBLICAN,FALSE,Lost,16.8
Raj Salwan,2024,Mayor,California,Fremont,DEMOCRAT,FALSE,Won,47.1
Vinnie Bacon,2024,Mayor,California,Fremont,NONPARTISAN,FALSE,Lost,32.4
Jerry Dyer,2024,Mayor,California,Fresno,REPUBLICAN,TRUE,Won,80
James Barr,2024,Mayor,California,Fresno,NONPARTISAN,FALSE,Lost,14.2
Larry Agran,2024,Mayor,California,Irvine,DEMOCRAT,FALSE,Won,38.8
Tammy Kim,2024,Mayor,California,Irvine,DEMOCRAT,FALSE,Lost,34.5
Patricia Lock Dawson,2024,Mayor,California,Riverside,NONPARTISAN,TRUE,Won,77.6
Jessica Qattawi,2024,Mayor,California,Riverside,NONPARTISAN,FALSE,Lost,22.4
Kevin McCarty,2024,Mayor,California,Sacramento,DEMOCRAT,FALSE,Won,50.5
Flojaune Cofer,2024,Mayor,California,Sacramento,NONPARTISAN,FALSE,Lost,49.5
Todd Gloria,2024,Mayor,California,San Deigo,DEMOCRAT,TRUE,Won,55.3
Larry Turner,2024,Mayor,California,San Deigo,INDEPENDENT,FALSE,Lost,44.7
Daniel Lurie,2024,Mayor,California,San Francisco,DEMOCRAT,FALSE,Won,55
London Breed,2024,Mayor,California,San Francisco,DEMOCRAT,TRUE,Lost,45
Matt Mahan,2024,Mayor,California,San Jose,DEMOCRAT,TRUE,Won,86.6
Tyrone Wade,2024,Mayor,California,San Jose,NONPARTISAN,FALSE,Lost,13.4
Valeria Amezcua,2024,Mayor,California,Santa Ana,DEMOCRAT,TRUE,Won,59.9
Ben Vazquez,2024,Mayor,California,Santa Ana,NONPARTISAN,FALSE,Lost,40.1
Christina Fugazi,2024,Mayor,California,Stockton,DEMOCRAT,FALSE,Won,54
Tom Patti,2024,Mayor,California,Stockton,REPUBLICAN,FALSE,Lost,46
Rick Blangiardi,2024,Mayor,Hawaii,Honolulu,INDEPENDENT,TRUE,Won,78
Choon James,2024,Mayor,Hawaii,Honolulu,NONPARTISAN,FALSE,Lost,14.4
Layne Wilkerson,2024,Mayor,Kentucky,Frankfort,NONPARTISAN,TRUE,Won,62
Katrisha Waldridge,2024,Mayor,Kentucky,Frankfort,NONPARTISAN,FALSE,Lost,38
Emile Edwards,2024,Mayor,Louisiana,Baton Rouge,REPUBLICAN,FALSE,Won,54.1
Sharon Weston Broome,2024,Mayor,Louisiana,Baton Rouge,DEMOCRAT,TRUE,Lost,45.9
Brandon Scott,2024,Mayor,Maryland,Baltimore,DEMOCRAT,TRUE,Won,82.1
Shannon Wright,2024,Mayor,Maryland,Baltimore,REPUBLICAN,FALSE,Lost,16.7
Lori Bagwell,2024,Mayor,Nevada,Carson City,NONPARTISAN,TRUE,Won,56.9
James Shirk,2024,Mayor,Nevada,Carson City,NONPARTISAN,FALSE,Lost,43.1
Shelley Berkley,2024,Mayor,Nevada,Las Vegas,DEMOCRAT,FALSE,Won,53.2
Victoria Seaman,2024,Mayor,Nevada,Las Vegas,REPUBLICAN,FALSE,Lost,46.8
Janet Cowell,2024,Mayor,North Carolina,Raleigh,DEMOCRAT,FALSE,Won,59.7
Paul Fitts,2024,Mayor,North Carolina,Raleigh,REPUBLICAN,FALSE,Lost,18.3
Allen Joines,2024,Mayor,North Carolina,Winston-Salem,DEMOCRAT,TRUE,Won,95.6
JoAnne Allen,2024,Mayor,North Carolina,Winston-Salem,INDEPEDENT,FALSE,Lost,0.8
Monroe Nichols,2024,Mayor,Oklahoma,Tulsa,DEMOCRAT,FALSE,Won,55.6
Karen Keith,2024,Mayor,Oklahoma,Tulsa,DEMOCRAT,FALSE,Lost,44.4
Keith Wilson,2024,Mayor,Oregon,Portland,DEMOCRAT,FALSE,Won,59.1
Carmen Rubio,2024,Mayor,Oregon,Portland,DEMOCRAT,FALSE,Lost,40.9
Kirk Watson,2024,Mayor,Texas,Austin,DEMOCRAT,TRUE,Won,50
