,Unnamed: 0,cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,contributions,percentage_votes,in_db,campaign_site,campaign_facebook,campaign_x,campaign_instagram,personal_website,personal_facebook,personal_linkedin
58,58,KATHERINE PICCININI,2024,federal:house,CA,10,REPUBLICAN,unknown,Lost,unknown,0.335265427,T,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
59,59,NANCY PELOSI,2024,federal:house,CA,11,DEMOCRAT,unknown,Won,unknown,0.810342336,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,60,BRUCE LOU,2024,federal:house,CA,11,REPUBLICAN,unknown,Lost,unknown,0.189657664,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
61,61,LATEEFAH SIMON,2024,federal:house,CA,12,DEMOCRAT,unknown,Won,unknown,0.654274357,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,62,JENNIFER TRAN,2024,federal:house,CA,12,DEMOCRAT,unknown,Lost,unknown,0.345725643,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,63,ADAM GRAY,2024,federal:house,CA,13,DEMOCRAT,unknown,Won,unknown,0.500443294,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,64,JOHN S. DUARTE,2024,federal:house,CA,13,REPUBLICAN,unknown,Lost,unknown,0.499556706,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,65,ERIC SWALWELL,2024,federal:house,CA,14,DEMOCRAT,unknown,Won,unknown,0.677536651,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,66,VIN KRUTTIVENTI,2024,federal:house,CA,14,REPUBLICAN,unknown,Lost,unknown,0.322463349,T,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
67,67,KEVIN MULLIN,2024,federal:house,CA,15,DEMOCRAT,unknown,Won,unknown,0.730970077,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,68,ANNA CHENG KRAMER,2024,federal:house,CA,15,REPUBLICAN,unknown,Lost,unknown,0.269029923,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
69,69,SAM LICCARDO,2024,federal:house,CA,16,DEMOCRAT,unknown,Won,unknown,0.582161983,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,70,EVAN LOW,2024,federal:house,CA,16,DEMOCRAT,unknown,Lost,unknown,0.417838017,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,71,RO KHANNA,2024,federal:house,CA,17,DEMOCRAT,unknown,Won,unknown,0.676647952,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,72,ANITA CHEN,2024,federal:house,CA,17,REPUBLICAN,unknown,Lost,unknown,0.323352048,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
73,73,ZOE LOFGREN,2024,federal:house,CA,18,DEMOCRAT,unknown,Won,unknown,0.646258742,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,74,PETER D. HERNANDEZ,2024,federal:house,CA,18,REPUBLICAN,unknown,Lost,unknown,0.353741258,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,75,JIMMY PANETTA,2024,federal:house,CA,19,DEMOCRAT,unknown,Won,unknown,0.692956741,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,76,JASON MICHAEL ANDERSON,2024,federal:house,CA,19,REPUBLICAN,unknown,Lost,unknown,0.307043259,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,77,VINCE FONG,2024,federal:house,CA,20,REPUBLICAN,unknown,Won,unknown,0.65051872,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,78,MIKE BOUDREAUX,2024,federal:house,CA,20,REPUBLICAN,unknown,Lost,unknown,0.34948128,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,79,JIM COSTA,2024,federal:house,CA,21,DEMOCRAT,unknown,Won,unknown,0.525737607,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,80,MICHAEL MAHER,2024,federal:house,CA,21,REPUBLICAN,unknown,Lost,unknown,0.474262393,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
81,81,DAVID G. VALADAO,2024,federal:house,CA,22,REPUBLICAN,unknown,Won,unknown,0.534210511,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,82,RUDY SALAS,2024,federal:house,CA,22,DEMOCRAT,unknown,Lost,unknown,0.465789489,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,83,JAY OBERNOLTE,2024,federal:house,CA,23,REPUBLICAN,unknown,Won,unknown,0.601421942,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,84,DEREK MARSHALL,2024,federal:house,CA,23,DEMOCRAT,unknown,Lost,unknown,0.398578058,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,85,SALUD O. CARBAJAL,2024,federal:house,CA,24,DEMOCRAT,unknown,Won,unknown,0.626969829,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,86,THOMAS COLE,2024,federal:house,CA,24,REPUBLICAN,unknown,Lost,unknown,0.373030171,T,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
87,87,RAUL RUIZ,2024,federal:house,CA,25,DEMOCRAT,unknown,Won,unknown,0.562528823,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,88,IAN M. WEEKS,2024,federal:house,CA,25,REPUBLICAN,unknown,Lost,unknown,0.437471177,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,89,JULIA BROWNLEY,2024,federal:house,CA,26,DEMOCRAT,unknown,Won,unknown,0.560543335,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,90,MICHAEL KOSLOW,2024,federal:house,CA,26,REPUBLICAN,unknown,Lost,unknown,0.439456665,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
91,91,GEORGE WHITESIDES,2024,federal:house,CA,27,DEMOCRAT,unknown,Won,unknown,0.513312673,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,92,MIKE GARCIA,2024,federal:house,CA,27,REPUBLICAN,unknown,Lost,unknown,0.486687327,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,93,JUDY CHU,2024,federal:house,CA,28,DEMOCRAT,unknown,Won,unknown,0.649286857,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,94,APRIL A. VERLATO,2024,federal:house,CA,28,REPUBLICAN,unknown,Lost,unknown,0.350713143,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,95,LUZ MARIA RIVAS,2024,federal:house,CA,29,DEMOCRAT,unknown,Won,unknown,0.697767138,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,96,BENITO BENNY BERNAL,2024,federal:house,CA,29,REPUBLICAN,unknown,Lost,unknown,0.302232862,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,97,LAURA FRIEDMAN,2024,federal:house,CA,30,DEMOCRAT,unknown,Won,unknown,0.683760135,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,98,ALEX BALEKIAN,2024,federal:house,CA,30,REPUBLICAN,unknown,Lost,unknown,0.316239865,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
99,99,GIL CISNEROS,2024,federal:house,CA,31,DEMOCRAT,unknown,Won,unknown,0.597275268,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,100,DANIEL JOSE BOCIC MARTINEZ,2024,federal:house,CA,31,REPUBLICAN,unknown,Lost,unknown,0.402724732,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,101,BRAD SHERMAN,2024,federal:house,CA,32,DEMOCRAT,unknown,Won,unknown,0.662015576,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,102,LARRY THOMPSON,2024,federal:house,CA,32,REPUBLICAN,unknown,Lost,unknown,0.337984424,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,103,PETE AGUILAR,2024,federal:house,CA,33,DEMOCRAT,unknown,Won,unknown,0.588134176,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,104,TOM HERMAN,2024,federal:house,CA,33,REPUBLICAN,unknown,Lost,unknown,0.411865824,T,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
105,105,JIMMY GOMEZ,2024,federal:house,CA,34,DEMOCRAT,unknown,Won,unknown,0.556421384,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,106,DAVID KIM,2024,federal:house,CA,34,DEMOCRAT,unknown,Lost,unknown,0.443578616,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,107,NORMA J. TORRES,2024,federal:house,CA,35,DEMOCRAT,unknown,Won,unknown,0.584072274,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,108,MIKE CARGILE,2024,federal:house,CA,35,REPUBLICAN,unknown,Lost,unknown,0.415927726,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
109,109,TED LIEU,2024,federal:house,CA,36,DEMOCRAT,unknown,Won,unknown,0.687181378,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
110,110,MELISSA TOOMIM,2024,federal:house,CA,36,REPUBLICAN,unknown,Lost,unknown,0.312818622,T,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
111,111,SYDNEY KAMLAGER-DOVE,2024,federal:house,CA,37,DEMOCRAT,unknown,Won,unknown,0.78297382,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
112,112,JUAN REY,2024,federal:house,CA,37,NO PARTY PREFERENCE,unknown,Lost,unknown,0.21702618,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113,113,LINDA T. SáNCHEZ,2024,federal:house,CA,38,DEMOCRAT,unknown,Won,unknown,0.598380737,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
114,114,ERIC J. CHING,2024,federal:house,CA,38,REPUBLICAN,unknown,Lost,unknown,0.401619263,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115,115,MARK TAKANO,2024,federal:house,CA,39,DEMOCRAT,unknown,Won,unknown,0.566885831,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
116,116,DAVID SERPA,2024,federal:house,CA,39,REPUBLICAN,unknown,Lost,unknown,0.433114169,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
117,117,YOUNG KIM,2024,federal:house,CA,40,REPUBLICAN,unknown,Won,unknown,0.552603386,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
118,118,JOE KERR,2024,federal:house,CA,40,DEMOCRAT,unknown,Lost,unknown,0.447396614,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
119,119,KEN CALVERT,2024,federal:house,CA,41,REPUBLICAN,unknown,Won,unknown,0.516909535,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120,120,WILL ROLLINS,2024,federal:house,CA,41,DEMOCRAT,unknown,Lost,unknown,0.483090465,T,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
121,121,ROBERT GARCIA,2024,federal:house,CA,42,DEMOCRAT,unknown,Won,unknown,0.68141358,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122,122,JOHN BRISCOE,2024,federal:house,CA,42,REPUBLICAN,unknown,Lost,unknown,0.31858642,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,123,MAXINE WATERS,2024,federal:house,CA,43,DEMOCRAT,unknown,Won,unknown,0.750731598,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124,124,STEVE WILLIAMS,2024,federal:house,CA,43,REPUBLICAN,unknown,Lost,unknown,0.249268402,T,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
125,125,NANETTE DIAZ BARRAGáN,2024,federal:house,CA,44,DEMOCRAT,unknown,Won,unknown,0.713725677,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,126,ROGER GROH,2024,federal:house,CA,44,REPUBLICAN,unknown,Lost,unknown,0.286274323,T,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
127,127,DEREK TRAN,2024,federal:house,CA,45,DEMOCRAT,unknown,Won,unknown,0.501033637,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
128,128,MICHELLE STEEL,2024,federal:house,CA,45,REPUBLICAN,unknown,Lost,unknown,0.498966363,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
129,129,J. LUIS CORREA,2024,federal:house,CA,46,DEMOCRAT,unknown,Won,unknown,0.634254965,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130,130,DAVID PAN,2024,federal:house,CA,46,REPUBLICAN,unknown,Lost,unknown,0.365745035,T,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
131,131,DAVE MIN,2024,federal:house,CA,47,DEMOCRAT,unknown,Won,unknown,0.51438964,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
132,132,SCOTT BAUGH,2024,federal:house,CA,47,REPUBLICAN,unknown,Lost,unknown,0.48561036,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
133,133,DARRELL ISSA,2024,federal:house,CA,48,REPUBLICAN,unknown,Won,unknown,0.592925144,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
134,134,STEPHEN HOULAHAN,2024,federal:house,CA,48,DEMOCRAT,unknown,Lost,unknown,0.407074856,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
135,135,MIKE LEVIN,2024,federal:house,CA,49,DEMOCRAT,unknown,Won,unknown,0.521735338,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
136,136,MATT GUNDERSON,2024,federal:house,CA,49,REPUBLICAN,unknown,Lost,unknown,0.478264662,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
137,137,SCOTT H. PETERS,2024,federal:house,CA,50,DEMOCRAT,unknown,Won,unknown,0.642748028,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
138,138,PETER J. BONO,2024,federal:house,CA,50,REPUBLICAN,unknown,Lost,unknown,0.357251972,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
139,139,SARA JACOBS,2024,federal:house,CA,51,DEMOCRAT,unknown,Won,unknown,0.606974089,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
140,140,BILL WELLS,2024,federal:house,CA,51,REPUBLICAN,unknown,Lost,unknown,0.393025911,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141,141,JUAN VARGAS,2024,federal:house,CA,52,DEMOCRAT,unknown,Won,unknown,0.663092277,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
142,142,JUSTIN LEE,2024,federal:house,CA,52,REPUBLICAN,unknown,Lost,unknown,0.336907723,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
143,143,DIANA DEGETTE,2024,federal:house,CO,1,DEMOCRAT,unknown,Won,unknown,0.765343399,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144,144,VALDAMAR ARCHULETA,2024,federal:house,CO,1,REPUBLICAN,unknown,Lost,unknown,0.215766411,T,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
145,145,JOE NEGUSE,2024,federal:house,CO,2,DEMOCRAT,unknown,Won,unknown,0.683589665,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
146,146,MARSHALL DAWSON,2024,federal:house,CO,2,REPUBLICAN,unknown,Lost,unknown,0.289351608,T,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
147,147,JEFF HURD,2024,federal:house,CO,3,REPUBLICAN,unknown,Won,unknown,0.507985099,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
148,148,ADAM FRISCH,2024,federal:house,CO,3,DEMOCRAT,unknown,Lost,unknown,0.458170357,T,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
